STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        691;20181208;   10;  17.7;   8.8;    3;   6.5;   6;    0.000;   0;   6.4;   8.8;  995.23;    7.4;   85.33;    9.5;    5.4;    3.9;eor
        691;20181209;   10;  17.5;   8.3;    3;   0.2;   6;    1.083;   0;   5.9;   8.6;  994.38;    7.2;   83.50;    9.0;    5.1;    3.7;eor
        691;20181210;   10;  17.8;   7.8;    3;   3.9;   8;    3.750;   0;   3.9;   6.9; 1013.02;    4.6;   81.17;    6.3;    2.6;    1.2;eor
        691;20181211;   10;  11.3;   4.7;    3;   0.0;   6;    6.317;   0;   3.2;   6.8; 1019.44;    4.5;   80.54;    7.3;    1.6;   -0.3;eor
        691;20181212;   10;   6.7;   3.0;    3;   1.0;   6;    0.100;   0;   6.8;   6.9; 1025.82;    3.7;   86.83;    5.6;    1.7;   -0.9;eor
        691;20181213;   10;   9.8;   4.3;    3;   0.0;   6;    3.233;   0;   6.4;   6.2; 1024.38;    2.4;   85.33;    3.6;    0.1;   -1.6;eor
        691;20181214;   10;   7.4;   3.2;    3;   0.0;   8;    0.000;   0;   7.2;   5.6; 1025.50;    1.1;   84.71;    2.0;   -0.3;   -2.0;eor
        691;20181215;   10;  13.5;   4.6;    3;   0.0;   0;    0.000;   0;   7.3;   4.8; 1025.41;    0.3;   77.67;    1.0;   -0.6;   -1.7;eor
        691;20181216;   10;  11.5;   4.3;    3;   0.3;   7;    0.000;   0;   6.4;   4.9; 1012.85;   -0.6;   84.08;    0.4;   -1.6;   -2.5;eor
        691;20181217;   10;   6.7;   2.7;    3;   0.3;   6;    0.000;   0;   7.9;   7.4; 1017.29;    3.3;   95.04;    6.3;    0.4;    0.1;eor
        691;20181218;   10;  10.6;   4.0;    3;   0.0;   0;    0.483;   0;   7.4;   7.9; 1020.72;    5.4;   88.17;    7.4;    2.7;    1.6;eor
        691;20181219;   10;  10.3;   4.4;    3;   0.1;   6;    0.000;   0;   7.4;   7.4; 1011.53;    4.8;   85.08;    7.5;    2.8;    1.8;eor
        691;20181220;   10;   7.7;   3.3;    3;   1.7;   6;    0.000;   0;   7.0;   8.6; 1010.39;    6.0;   91.63;    7.8;    3.1;    1.5;eor
        691;20181221;   10;  20.4;   6.7;    3;   9.8;   6;    0.000;   0;   7.4;   9.9; 1000.45;    8.0;   91.67;   11.9;    6.3;    5.6;eor
        691;20181222;   10;  13.4;   4.6;    3;   2.5;   6;    0.000;   0;   7.2;   9.2; 1008.40;    6.8;   93.38;    8.6;    2.9;    1.3;eor
        691;20181223;   10;   9.3;   4.4;    3;   4.2;   6;    0.000;   0;   7.6;   9.3; 1015.12;    7.0;   92.92;    7.9;    5.5;    5.1;eor
        691;20181224;   10;  11.8;   4.1;    3;   0.2;   6;    3.217;   0;   6.1;   6.8; 1026.40;    3.8;   84.21;    6.3;    1.7;   -0.1;eor
        691;20181225;   10;  11.0;   5.6;    3;   0.0;   6;    0.000;   0;   7.0;   7.3; 1030.76;    5.6;   80.13;    7.0;    2.3;    1.2;eor
        691;20181226;   10;  10.6;   5.1;    3;   0.0;   6;    0.000;   0;   7.8;   8.7; 1028.47;    5.6;   94.54;    6.4;    4.5;    4.1;eor
        691;20181227;   10;   8.2;   3.7;    3;   0.0;   6;    0.000;   0;   8.0;   8.2; 1025.01;    4.7;   95.92;    5.3;    4.0;    3.8;eor
        691;20181228;   10;   6.7;   3.2;    3;   0.2;   6;    0.000;   0;   7.9;   8.5; 1026.28;    5.5;   94.04;    6.9;    4.8;    4.5;eor
