STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        161;20181208;   10;  14.0;   4.6;    3;   1.8;   6;    1.633;   0;   7.0;   8.4;  996.97;    8.1;   76.96;   11.8;    5.7;    3.3;eor
        161;20181209;   10;  13.8;   4.4;    3;   7.8;   6;    0.083;   0;   7.3;   8.1;  994.70;    8.6;   72.79;   11.4;    6.3;    4.8;eor
        161;20181210;   10;  11.5;   3.3;    3;   4.2;   6;    0.850;   0;   5.8;   7.1; 1011.92;    5.5;   78.50;    7.8;    4.3;    1.8;eor
        161;20181211;   10;   9.4;   2.3;    3;   2.6;   6;    2.067;   0;   6.3;   6.9; 1014.72;    3.9;   85.75;    5.6;    0.3;   -2.5;eor
        161;20181212;   10;   4.9;   1.2;    3;   0.0;   0;    2.200;   0;   7.5;   6.4; 1015.27;    3.2;   83.17;    6.3;    0.7;   -1.9;eor
        161;20181213;   10;  10.2;   2.8;    3;   0.0;   0;    5.567;   0;   4.6;   4.8; 1011.26;    1.7;   70.13;    3.6;   -1.4;   -5.3;eor
        161;20181214;   10;   7.0;   3.0;    3;   0.0;   7;    0.000;   0;   7.8;   4.1; 1013.39;    1.2;   61.17;    1.7;    0.0;   -1.1;eor
        161;20181215;   10;  10.0;   3.5;    3;   1.3;   8;    0.000;   0;   7.9;   4.0; 1014.60;    0.6;   63.00;    1.4;   -0.2;   -1.6;eor
        161;20181216;   10;   9.2;   2.3;    3;   0.1;   8;    0.000;   1;   7.9;   5.3; 1004.63;    0.2;   85.13;    2.4;   -1.8;   -3.9;eor
        161;20181217;   10;   8.0;   1.7;    3;   0.8;   6;    1.050;   0;   7.2;   7.1; 1011.50;    3.8;   88.50;    7.7;    0.1;   -3.6;eor
        161;20181218;   10;   6.9;   1.8;    3;   0.0;   6;    3.567;   0;   7.5;   6.9; 1013.38;    3.9;   85.33;    7.2;   -0.4;   -4.5;eor
        161;20181219;   10;   5.6;   1.8;    3;   0.0;   6;    0.933;   0;   7.8;   7.7; 1004.86;    6.1;   81.58;   10.5;    2.7;    2.0;eor
        161;20181220;   10;   9.9;   2.5;    3;   1.2;   6;    2.050;   0;   7.9;   8.5; 1004.90;    7.8;   80.13;    9.8;    5.7;    3.6;eor
        161;20181221;   10;  14.5;   4.3;    3;   1.9;   6;    0.000;   0;   7.7;   9.8;  998.87;   11.1;   74.88;   14.6;    7.8;    5.3;eor
        161;20181222;   10;  14.1;   2.9;    3;   4.9;   6;    0.900;   0;   7.6;   9.0; 1005.78;   10.3;   71.75;   12.5;    4.9;    0.0;eor
