STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3164;20181208;-999;-999;-999;    3;  18.1;   4;-999;   0;  -999;   8.6;    -999;    6.4;   88.38;    9.1;    4.9;    3.5;eor
       3164;20181209;-999;-999;-999;    3;   3.6;   4;-999;   0;  -999;   8.3;    -999;    7.0;   82.38;    9.4;    5.0;    3.7;eor
       3164;20181210;-999;-999;-999;    3;   3.0;   4;-999;   0;  -999;   6.6;    -999;    4.3;   80.08;    6.0;    2.5;    1.6;eor
       3164;20181211;-999;-999;-999;    3;   0.8;   4;-999;   0;  -999;   6.8;    -999;    3.6;   86.17;    6.0;    1.6;    0.2;eor
       3164;20181212;-999;-999;-999;    3;   0.4;   4;-999;   0;  -999;   6.3;    -999;    3.1;   83.50;    5.5;    1.4;    0.4;eor
       3164;20181213;-999;-999;-999;    3;   0.0;   0;-999;   0;  -999;   5.0;    -999;    0.8;   77.79;    1.8;   -0.7;   -2.4;eor
       3164;20181214;-999;-999;-999;    3;   0.0;   0;-999;   0;  -999;   4.2;    -999;    0.2;   67.92;    0.9;   -0.8;   -1.0;eor
       3164;20181215;-999;-999;-999;    3;   0.0;   0;-999;   0;  -999;   4.0;    -999;   -0.6;   68.04;    0.0;   -3.1;   -4.7;eor
       3164;20181216;-999;-999;-999;    3;   2.4;   4;-999;   0;  -999;   4.8;    -999;   -1.8;   89.46;   -0.1;   -3.6;   -4.8;eor
       3164;20181217;-999;-999;-999;    3;   1.1;   4;-999;   1;  -999;   7.1;    -999;    2.3;   97.83;    4.6;   -0.1;   -0.1;eor
       3164;20181218;-999;-999;-999;    3;   0.0;   0;-999;   0;  -999;   7.1;    -999;    2.6;   95.04;    5.4;   -2.4;   -3.1;eor
       3164;20181219;-999;-999;-999;    3;   0.8;   4;-999;   0;  -999;   6.9;    -999;    2.1;   96.13;    4.7;   -2.4;   -2.7;eor
       3164;20181220;-999;-999;-999;    3;   3.4;   4;-999;   0;  -999;   8.6;    -999;    5.7;   94.08;    6.8;    4.1;    3.9;eor
       3164;20181221;-999;-999;-999;    3;  15.0;   4;-999;   0;  -999;   9.6;    -999;    8.9;   84.58;   12.4;    6.2;    5.5;eor
       3164;20181222;-999;-999;-999;    3;   6.4;   4;-999;   0;  -999;   9.0;    -999;    9.1;   78.25;   10.8;    6.7;    5.5;eor
       3164;20181223;-999;-999;-999;    3;   9.6;   4;-999;   0;  -999;   9.2;    -999;    7.0;   92.29;    8.4;    5.3;    4.9;eor
       3164;20181224;-999;-999;-999;    3;   0.1;   4;-999;   0;  -999;   6.6;    -999;    2.8;   88.33;    6.7;   -1.3;   -2.9;eor
       3164;20181225;-999;-999;-999;    3;   0.0;   0;-999;   0;  -999;   6.1;    -999;    3.5;   77.00;    5.9;    1.7;    1.4;eor
       3164;20181226;-999;-999;-999;    3;   0.0;   0;-999;   0;  -999;   5.6;    -999;    0.0;   91.13;    3.2;   -2.9;   -3.9;eor
       3164;20181227;-999;-999;-999;    3;   0.0;   0;-999;   0;  -999;   5.8;    -999;    0.6;   90.67;    2.8;   -1.4;   -1.9;eor
       3164;20181228;-999;-999;-999;    3;   0.0;   0;-999;   0;  -999;   5.7;    -999;   -0.7;   98.04;    0.3;   -1.5;   -1.0;eor
       3164;20181229;-999;-999;-999;    3;   1.2;   4;-999;   0;  -999;   6.8;    -999;    2.0;   96.38;    8.1;    0.1;    0.3;eor
       3164;20181230;-999;-999;-999;    3;   0.0;   0;-999;   0;  -999;   7.9;    -999;    7.1;   78.42;    8.1;    6.0;    5.3;eor
       3164;20181231;-999;-999;-999;    3;   0.1;   4;-999;   0;  -999;   9.6;    -999;    7.1;   94.63;    9.1;    4.9;    3.5;eor
       3164;20190101;-999;-999;-999;    3;   2.4;   4;-999;   0;  -999;   7.9;    -999;    6.8;   78.79;    8.5;    1.6;    0.2;eor
