STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3513;20181208;   10;  19.9;   7.7;    3;  34.0;   8;    0.000;   0;   7.7;   6.4;  906.33;    1.1;   96.29;    2.9;    0.1;    0.0;eor
       3513;20181209;   10;  20.6;   7.1;    3;  12.1;   8;    0.000;   0;   7.5;   6.7;  901.28;    1.8;   95.75;    3.2;   -0.3;   -1.4;eor
       3513;20181210;   10;  14.6;   6.0;    3;   1.7;   8;    0.467;   2;   7.8;   5.2;  914.76;   -1.2;   92.38;   -0.3;   -2.1;   -3.0;eor
       3513;20181211;   10;  13.8;   5.0;    3;   1.6;   8;    0.650;   5;   7.6;   5.0;  917.59;   -1.4;   91.46;   -0.6;   -1.7;   -2.9;eor
       3513;20181212;   10;  11.0;   4.0;    3;   1.2;   8;    0.000;   4;   7.6;   4.8;  920.76;   -2.6;   94.75;   -1.6;   -3.8;   -4.7;eor
       3513;20181213;   10;  11.4;   4.9;    3;   0.0;   7;    0.850;   5;   7.6;   3.7;  918.35;   -5.4;   90.92;   -3.8;   -6.2;   -7.0;eor
       3513;20181214;   10;  10.5;   4.1;    3;   0.0;   7;    0.000;   5;   7.8;   3.4;  919.51;   -6.1;   88.46;   -5.8;   -6.8;   -5.7;eor
       3513;20181215;   10;  11.3;   2.4;    3;   0.0;   7;    0.000;   5;   8.0;   3.3;  921.95;   -6.2;   85.71;   -5.9;   -6.6;   -6.6;eor
       3513;20181216;   10;  14.1;   5.5;    3;   0.3;   7;    0.000;   5;   7.6;   3.5;  912.66;   -6.1;   90.50;   -3.7;   -7.4;  -10.1;eor
       3513;20181217;   10;  13.6;   3.9;    3;   1.0;   8;    0.000;   6;   8.0;   5.4;  919.58;   -1.3;   96.71;   -0.1;   -3.8;   -4.5;eor
       3513;20181218;   10;  13.1;   4.4;    3;   0.2;   8;    0.083;   6;   7.9;   5.7;  923.28;   -0.6;   97.17;   -0.1;   -2.2;   -3.2;eor
       3513;20181219;   10;  15.4;   5.1;    3;   0.6;   8;    0.000;   6;   8.0;   5.1;  916.22;   -2.0;   95.71;   -0.4;   -2.9;   -4.2;eor
       3513;20181220;   10;  14.3;   4.5;    3;  11.6;   8;    0.000;   5;   7.9;   6.0;  915.29;    0.1;   97.63;    1.3;   -1.4;   -0.8;eor
       3513;20181221;   10;  22.3;   7.0;    3;  28.0;   8;    0.000;   3;   7.7;   7.4;  909.87;    2.9;   97.42;    5.9;    0.1;    0.0;eor
