STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        125;20181208;   10;  25.2;  12.5;    3;   3.1;   4;-999;-999;  -999;   6.0;  925.25;    4.1;   73.25;   -999;   -999;-999;eor
        125;20181209;   10;  28.8;  11.7;    3;  11.7;   4;-999;-999;  -999;   7.2;  919.65;    4.0;   88.21;   -999;   -999;-999;eor
        125;20181210;   10;  16.5;   8.1;    3;   2.2;   4;-999;   0;   7.3;   5.8;  931.00;    1.2;   87.25;   -999;   -999;-999;eor
        125;20181211;   10;  12.9;   5.1;    3;   0.2;   4;-999;   3;   7.3;   4.8;  933.10;   -1.1;   85.54;   -999;   -999;-999;eor
        125;20181212;   10;   6.7;   2.3;    3;   0.0;   4;-999;   4;   7.0;   4.3;  931.71;   -2.3;   83.88;   -999;   -999;-999;eor
        125;20181213;   10;   8.7;   4.4;    3;   0.0;   0;-999;   4;   7.0;   4.3;  925.46;   -2.8;   85.67;   -999;   -999;-999;eor
        125;20181214;   10;   6.2;   2.5;    3;   0.0;   0;-999;   2;   8.0;   3.5;  928.45;   -4.5;   79.54;   -999;   -999;-999;eor
        125;20181215;   10;   7.2;   2.1;    3;   0.0;   0;-999;-999;  -999;   3.2;  932.27;   -5.8;   80.50;   -999;   -999;-999;eor
        125;20181216;   10;  13.4;   2.6;    3;   2.9;   4;-999;-999;  -999;   4.8;  925.51;   -2.7;   90.67;   -999;   -999;-999;eor
        125;20181217;   10;  11.8;   3.0;    3;   0.4;   4;-999;   4;   6.7;   5.5;  933.06;   -0.7;   93.08;   -999;   -999;-999;eor
        125;20181218;   10;   4.6;   1.5;    3;   0.0;   0;-999;   2;   2.7;   4.9;  935.09;   -0.6;   85.17;   -999;   -999;-999;eor
        125;20181219;   10;   8.7;   1.9;    3;   0.7;   4;-999;   2;   7.3;   4.8;  928.63;    0.6;   74.29;   -999;   -999;-999;eor
        125;20181220;   10;  14.9;   5.0;    3;   0.0;   4;-999;   0;   5.7;   6.0;  930.30;    2.8;   80.17;   -999;   -999;-999;eor
        125;20181221;   10;  22.6;   8.0;    3;   7.9;   4;-999;   0;   7.7;   7.0;  928.20;    5.2;   75.46;   -999;   -999;-999;eor
        125;20181222;   10;  25.2;  12.5;    3;   1.5;   4;-999;-999;  -999;   8.6;  930.17;    8.2;   79.38;   -999;   -999;-999;eor
        125;20181223;   10;  22.1;   9.9;    3;  16.8;   4;-999;-999;  -999;   8.4;  933.13;    6.8;   84.83;   -999;   -999;-999;eor
        125;20181224;   10;  24.2;   6.2;    3;   7.2;   4;-999;-999;  -999;   7.2;  935.68;    3.3;   91.79;   -999;   -999;-999;eor
        125;20181225;   10;   5.1;   1.8;    3;   0.0;   0;-999;-999;  -999;   5.4;  943.78;   -0.9;   93.92;   -999;   -999;-999;eor
        125;20181226;   10;   5.7;   1.6;    3;   0.0;   0;-999;-999;  -999;   4.6;  941.47;   -2.4;   89.75;   -999;   -999;-999;eor
        125;20181227;   10;   3.1;   1.4;    3;   0.0;   0;-999;-999;  -999;   4.7;  937.47;   -2.0;   88.08;   -999;   -999;-999;eor
        125;20181228;   10;   6.7;   1.5;    3;   0.0;   0;-999;-999;  -999;   4.9;  938.03;   -0.3;   82.33;   -999;   -999;-999;eor
        125;20181229;   10;  15.9;   3.5;    3;   2.0;   4;-999;-999;  -999;   4.8;  941.33;   -2.3;   91.13;   -999;   -999;-999;eor
        125;20181230;   10;  18.5;   7.5;    3;   2.0;   4;-999;-999;  -999;   6.1;  941.94;    1.0;   92.04;   -999;   -999;-999;eor
        125;20181231;   10;   9.3;   4.3;    3;   3.2;   4;-999;-999;  -999;   6.5;  943.19;    1.5;   96.00;   -999;   -999;-999;eor
        125;20190101;   10;  18.0;   6.3;    3;   3.9;   4;-999;-999;  -999;   6.0;  939.49;    0.6;   93.67;   -999;   -999;-999;eor
        125;20190102;   10;  18.5;   6.8;    3;   0.6;   4;-999;   3;   6.0;   4.7;  939.29;   -1.9;   86.96;   -999;   -999;-999;eor
        125;20190103;   10;   9.8;   4.4;    3;   0.0;   4;-999;   4;   6.7;   3.5;  944.19;   -5.0;   82.67;   -999;   -999;-999;eor
        125;20190104;   10;  12.3;   5.1;    3;   0.0;   4;-999;   5;   8.0;   4.1;  943.39;   -3.3;   85.21;   -999;   -999;-999;eor
        125;20190105;   10;  18.5;  10.6;    3;   5.3;   4;-999;-999;  -999;   5.0;  938.06;   -1.3;   89.50;   -999;   -999;-999;eor
        125;20190106;   10;  14.4;   5.9;    3;   2.7;   4;-999;-999;  -999;   5.8;  939.37;   -0.1;   95.74;   -999;   -999;-999;eor
        125;20190107;   10;  14.4;   4.4;    3;   0.1;   4;-999;  40;   8.0;   5.7;  940.89;   -0.1;   94.63;   -999;   -999;-999;eor
        125;20190108;   10;  20.1;  11.8;    3;   1.4;   4;-999;  35;   8.0;   5.7;  928.51;    0.4;   89.75;   -999;   -999;-999;eor
        125;20190109;   10;  15.9;   6.7;    3;   5.8;   4;-999;  35;   8.0;   4.8;  923.17;   -1.8;   89.92;   -999;   -999;-999;eor
        125;20190110;   10;   8.7;   3.6;    3;   6.6;   4;-999;  54;   8.0;   4.5;  929.95;   -3.2;   93.25;   -999;   -999;-999;eor
        125;20190111;   10;  15.9;   4.9;    3;   0.0;   0;-999;  45;   7.3;   3.8;  933.91;   -4.8;   88.08;   -999;   -999;-999;eor
        125;20190112;   10;  19.5;  10.0;    3;   1.1;   4;-999;-999;  -999;   5.3;  932.15;   -0.3;   88.22;   -999;   -999;-999;eor
        125;20190113;   10;  26.2;  11.9;    3;  11.1;   4;-999;-999;  -999;   6.2;  921.38;    1.1;   92.83;   -999;   -999;-999;eor
        125;20190114;   10;  19.5;   8.4;    3;   1.9;   4;-999;  40;   6.0;   5.7;  922.18;    0.7;   89.50;   -999;   -999;-999;eor
        125;20190115;   10;  13.9;   6.0;    3;   0.0;   0;-999;  40;   6.7;   4.5;  931.94;   -0.7;   78.04;   -999;   -999;-999;eor
        125;20190116;   10;   7.2;   2.3;    3;   0.0;   0;-999;  35;   5.3;   4.0;  926.00;   -2.1;   77.00;   -999;   -999;-999;eor
        125;20190117;   10;  20.6;   8.6;    3;   0.5;   4;-999;  28;   5.7;   5.1;  921.04;    2.5;   71.08;   -999;   -999;-999;eor
        125;20190118;   10;  13.4;   4.4;    3;   0.0;   0;-999;  30;   6.7;   3.7;  927.86;   -2.8;   74.38;   -999;   -999;-999;eor
        125;20190119;   10;   4.1;   1.4;    3;   0.0;   0;-999;-999;  -999;   2.7;  925.10;   -8.3;   85.04;   -999;   -999;-999;eor
        125;20190120;   10;   4.1;   1.5;    3;   0.0;   0;-999;-999;  -999;   3.1;  924.76;   -7.0;   83.33;   -999;   -999;-999;eor
        125;20190121;   10;   3.6;   1.6;    3;   0.0;   4;-999;  27;   8.0;   4.3;  928.43;   -3.9;   93.96;   -999;   -999;-999;eor
        125;20190122;   10;   4.1;   1.6;    3;   0.0;   4;-999;  27;   8.0;   3.7;  920.51;   -5.8;   94.46;   -999;   -999;-999;eor
