STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4039;20181208;   10;  16.8;   6.3;    3;  17.5;   6;    0.000;   0;   7.5;   8.4;  992.35;    7.2;   82.42;    8.9;    5.4;    3.6;eor
       4039;20181209;   10;  17.1;   5.3;    3;   7.3;   6;    0.267;   0;   7.8;   8.3;  990.68;    6.5;   85.13;    8.0;    5.2;    3.3;eor
       4039;20181210;   10;  16.3;   5.7;    3;   1.4;   6;    0.983;   0;   5.9;   6.6; 1008.60;    4.7;   77.67;    6.1;    3.2;    0.9;eor
       4039;20181211;   10;  11.4;   3.5;    3;   0.0;   6;    3.317;   0;   4.6;   6.4; 1016.99;    3.9;   78.75;    5.7;    2.0;   -0.2;eor
       4039;20181212;   10;   4.6;   1.6;    3;   0.0;   6;    0.000;   0;   6.7;   6.6; 1025.19;    2.8;   88.63;    4.9;    0.1;   -3.2;eor
       4039;20181213;   10;   5.7;   1.7;    3;   0.0;   8;    1.283;   0;   6.2;   5.9; 1024.45;    1.3;   88.42;    2.8;   -1.3;   -3.9;eor
       4039;20181214;   10;   5.4;   2.1;    3;   0.0;   8;    0.000;   0;   8.0;   5.6; 1025.45;    1.1;   84.42;    1.8;    0.1;   -0.5;eor
       4039;20181215;   10;  11.7;   3.3;    3;   0.0;   0;    0.000;   0;   7.7;   4.6; 1025.95;   -0.1;   74.96;    0.8;   -1.3;   -2.6;eor
       4039;20181216;   10;  11.1;   4.3;    3;   0.4;   8;    0.000;   0;   7.2;   4.6; 1013.30;   -0.6;   78.33;    0.3;   -1.6;   -2.7;eor
       4039;20181217;   10;   5.1;   2.2;    3;   2.9;   6;    0.000;   0;   8.0;   6.4; 1016.92;    1.2;   95.46;    4.8;   -0.7;   -0.8;eor
       4039;20181218;   10;   8.2;   2.9;    3;   0.0;   6;    0.017;   0;   7.9;   8.0; 1020.21;    5.2;   89.58;    6.7;    2.2;    0.5;eor
       4039;20181219;   10;  10.0;   3.8;    3;   1.0;   6;    0.000;   0;   7.9;   6.9; 1011.60;    3.3;   88.29;    5.2;    1.8;    0.5;eor
       4039;20181220;   10;   6.9;   2.5;    3;   4.7;   6;    0.000;   0;   7.9;   8.3; 1009.97;    5.4;   92.92;    6.6;    3.8;    2.3;eor
       4039;20181221;   10;  22.4;   4.9;    3;  11.6;   6;    0.000;   0;   7.6;   9.3;  999.21;    7.1;   92.08;   10.3;    6.1;    5.0;eor
       4039;20181222;   10;  15.4;   2.8;    3;   7.1;   6;    0.000;   0;   7.9;   8.8; 1006.35;    6.0;   93.46;    7.2;    4.9;    3.1;eor
       4039;20181223;   10;   9.4;   3.6;    3;   2.5;   6;    0.000;   0;   7.8;   9.0; 1012.84;    6.7;   91.54;    7.5;    4.4;    3.9;eor
       4039;20181224;   10;   8.4;   3.0;    3;   0.0;   8;    3.167;   0;   7.2;   6.3; 1024.34;    2.4;   86.21;    4.7;    0.0;   -1.4;eor
       4039;20181225;   10;  12.6;   5.1;    3;   0.5;   6;    0.000;   0;   8.0;   7.4; 1027.53;    5.8;   80.58;    7.1;    4.1;    2.3;eor
       4039;20181226;   10;  11.2;   4.7;    3;   0.5;   6;    0.000;   0;   7.9;   9.6; 1025.58;    6.9;   95.96;    8.5;    5.2;    5.0;eor
       4039;20181227;   10;   8.8;   3.7;    3;   0.7;   6;    0.000;   0;   8.0;   9.0; 1022.48;    6.1;   95.71;    6.7;    5.5;    5.4;eor
       4039;20181228;   10;   7.5;   3.4;    3;   2.3;   6;    0.000;   0;   7.9;   9.4; 1023.81;    7.2;   92.58;    8.0;    6.4;    6.2;eor
       4039;20181229;   10;  12.9;   4.4;    3;   8.4;   6;    0.000;   0;   7.9;   9.6; 1020.79;    7.4;   93.08;    8.3;    6.3;    6.1;eor
       4039;20181230;   10;  16.4;   5.1;    3;   0.0;   6;    1.100;   0;   7.4;   8.5; 1024.45;    7.0;   84.63;    8.6;    5.1;    2.3;eor
       4039;20181231;   10;  12.8;   3.2;    3;   2.3;   6;    0.000;   0;   8.0;   9.6; 1027.53;    7.2;   94.67;    8.4;    5.6;    4.9;eor
       4039;20190101;   10;  19.8;   8.3;    3;   1.1;   6;    0.583;   0;   7.0;   7.5; 1017.50;    6.5;   76.17;    8.2;    4.2;    2.4;eor
       4039;20190102;   10;  11.6;   4.5;    3;   0.0;   0;    6.733;   0;   0.1;   4.5; 1028.58;    2.3;   62.33;    4.7;   -4.4;   -7.2;eor
       4039;20190103;   10;   3.7;   1.1;    3;   0.2;   6;    5.150;   0;   4.7;   4.5; 1034.35;   -2.6;   88.71;    3.1;   -6.6;   -9.7;eor
       4039;20190104;   10;  14.2;   4.6;    3;   1.5;   6;    0.000;   0;   7.7;   7.8; 1027.68;    4.2;   92.88;    7.1;   -3.1;   -5.4;eor
       4039;20190105;   10;  12.5;   3.6;    3;   0.3;   6;    0.000;   0;   7.7;   9.5; 1021.75;    7.2;   93.79;    8.4;    5.4;    3.8;eor
       4039;20190106;   10;   6.2;   1.8;    3;   1.0;   6;    0.000;   0;   8.0;   8.5; 1026.97;    5.5;   93.96;    6.6;    4.0;    2.9;eor
       4039;20190107;   10;  14.7;   4.4;    3;  10.8;   6;    0.000;   0;   7.7;   9.1; 1021.66;    6.5;   93.29;    8.2;    5.6;    5.5;eor
       4039;20190108;   10;  19.1;   8.2;    3;   3.8;   6;    0.000;   0;   7.8;   7.4; 1001.40;    5.7;   80.29;    7.7;    3.1;    2.3;eor
       4039;20190109;   10;  14.7;   5.2;    3;   0.0;   8;    0.000;   0;   7.8;   5.1; 1013.20;    3.0;   67.79;    3.8;    1.8;    0.8;eor
       4039;20190110;   10;   5.6;   1.9;    3;   1.3;   8;    0.283;   0;   7.8;   5.6; 1022.79;    1.1;   84.04;    2.1;   -0.6;   -1.6;eor
       4039;20190111;   10;  12.1;   4.7;    3;   0.9;   6;    0.017;   0;   7.8;   8.0; 1015.68;    5.4;   88.63;    7.5;    1.7;    1.6;eor
       4039;20190112;   10;  16.1;   5.8;    3;  11.7;   6;    0.000;   0;   7.7;   8.3; 1008.02;    6.0;   88.63;    6.9;    5.1;    4.1;eor
       4039;20190113;   10;  19.9;   7.2;    3;   6.9;   8;    0.000;   0;   7.5;   8.8;  994.32;    6.9;   88.04;    8.4;    4.2;    2.7;eor
       4039;20190114;   10;  16.4;   6.4;    3;   0.6;   8;    4.283;   0;   5.6;   5.2; 1003.76;    2.5;   70.67;    4.3;    0.5;   -0.4;eor
       4039;20190115;   10;  15.1;   6.2;    3;  12.1;   6;    0.000;   0;   7.5;   8.1; 1007.73;    5.6;   87.67;    7.6;    3.3;    1.8;eor
       4039;20190116;   10;  12.1;   5.4;    3;   4.9;   8;    0.000;   0;   7.7;   8.5; 1001.57;    6.5;   88.08;    7.6;    4.4;    4.0;eor
       4039;20190117;   10;  13.0;   4.9;    3;   6.5;   8;    0.000;   0;   7.8;   6.7;  996.24;    3.5;   84.96;    5.7;   -2.3;   -3.1;eor
       4039;20190118;   10;   5.6;   1.6;    3;   0.2;   8;    3.367;   3;   4.4;   4.6; 1014.56;   -2.9;   91.96;    2.0;   -9.4;   -8.7;eor
       4039;20190119;   10;   2.3;   0.9;    3;   0.0;   0;    7.200;   2;   5.8;   4.2; 1017.68;   -3.4;   89.04;    3.8;   -6.9;   -9.4;eor
       4039;20190120;   10;   3.6;   1.1;    3;   0.0;   7;    4.500;   2;   5.0;   4.1; 1018.68;   -4.0;   90.38;    2.2;   -7.2;  -10.3;eor
       4039;20190121;   10;   5.4;   1.9;    3;   0.0;   8;    0.733;   2;   6.9;   4.2; 1018.51;   -3.6;   88.38;   -0.4;   -7.4;  -10.5;eor
       4039;20190122;   10;   9.2;   3.5;    3;   0.0;   0;    5.967;   2;   8.0;   4.5; 1007.20;   -1.1;   79.04;    0.3;   -4.3;   -7.2;eor
       4039;20190123;   10;   7.1;   2.6;    3;   0.0;   0;    0.033;   2;   7.5;   3.4; 1002.92;   -5.8;   85.33;   -4.0;  -10.4;  -13.5;eor
       4039;20190124;   10;   6.8;   2.6;    3;   0.0;   7;    0.000;   2;   7.9;   3.2; 1011.48;   -4.6;   74.92;   -3.3;   -6.9;   -6.4;eor
       4039;20190125;   10;   8.2;   2.2;    3;   0.3;   8;    0.000;   2;   7.9;   3.6; 1011.28;   -3.5;   75.88;   -1.0;   -4.3;   -4.5;eor
       4039;20190126;   10;   6.5;   2.3;    3;   7.8;   8;    0.000;   2;   7.9;   7.3;  998.20;    2.8;   97.17;    5.1;   -1.0;   -1.0;eor
       4039;20190127;   10;   9.1;   3.9;    3;   3.0;   6;    0.000;   0;   7.7;   8.1;  983.70;    5.0;   92.13;    6.0;    2.6;    0.2;eor
       4039;20190128;   10;  10.0;   2.7;    3;   0.6;   8;    0.000;   0;   7.3;   6.4;  989.19;    2.0;   89.88;    3.7;   -2.0;   -4.0;eor
       4039;20190129;   10;   7.5;   2.6;    3;   0.0;   8;    1.233;   0;   6.0;   5.5; 1000.30;    0.1;   89.46;    3.3;   -3.6;   -6.2;eor
       4039;20190130;   10;  12.0;   4.5;    3;   0.0;   8;    0.133;   0;   7.8;   4.8;  996.11;    0.2;   78.50;    2.3;   -1.6;   -3.3;eor
       4039;20190131;   10;   7.4;   3.0;    3;   0.0;   8;    1.817;   0;   5.0;   5.0;  996.37;    0.7;   77.46;    2.9;   -1.5;   -4.7;eor
       4039;20190201;   10;   8.3;   3.5;    3;   0.0;   7;    0.000;   0;   5.7;   4.8;  993.95;   -1.1;   84.46;    0.3;   -2.9;   -5.4;eor
       4039;20190202;   10;   5.6;   2.1;    3;   0.1;   8;    0.000;   0;   7.9;   5.5;  998.45;   -0.2;   90.75;    2.3;   -3.4;   -5.8;eor
       4039;20190203;   10;   9.1;   2.9;    3;   0.0;   6;    5.733;   0;   4.1;   5.6; 1014.48;    1.3;   83.50;    4.6;   -3.0;   -5.7;eor
       4039;20190204;   10;  15.8;   4.4;    3;   0.1;   8;    2.300;   0;   6.1;   5.2; 1021.24;    1.3;   78.04;    4.0;   -3.8;   -6.7;eor
       4039;20190205;   10;  11.9;   4.1;    3;   0.0;   6;    0.017;   0;   7.4;   6.7; 1022.25;    3.5;   86.00;    5.6;    0.2;   -3.3;eor
       4039;20190206;   10;   9.9;   3.2;    3;  15.9;   6;    0.000;   0;   7.9;   7.2; 1019.25;    3.6;   90.13;    5.0;    0.0;   -2.6;eor
       4039;20190207;   10;  14.2;   4.6;    3;   3.0;   6;    2.400;   0;   7.7;   7.8; 1005.92;    6.0;   83.46;    9.1;    4.1;    3.8;eor
       4039;20190208;   10;  13.6;   5.5;    3;   1.9;   6;    0.000;   0;   7.8;   7.9; 1005.27;    6.9;   79.38;    8.6;    5.5;    4.2;eor
       4039;20190209;   10;  16.8;   6.6;    3;   5.2;   6;    0.717;   0;   7.7;   7.8;  997.05;    7.6;   74.38;    9.3;    5.1;    4.1;eor
       4039;20190210;   10;  11.4;   4.3;    3;  16.6;   8;    0.000;   0;   7.7;   8.2;  990.99;    6.0;   87.83;    8.5;    0.7;    0.1;eor
       4039;20190211;   10;  14.9;   6.4;    3;   0.1;   6;    4.667;   0;   5.9;   6.4; 1008.59;    5.0;   73.13;    8.0;    2.4;    0.5;eor
       4039;20190212;   10;  10.9;   4.2;    3;   0.0;   6;    4.600;   0;   7.7;   6.4; 1026.73;    4.7;   74.63;    7.9;    2.3;    0.6;eor
       4039;20190213;   10;  10.4;   4.5;    3;   0.4;   6;    0.000;   0;   8.0;   9.1; 1029.73;    7.1;   90.42;    7.9;    5.6;    4.7;eor
       4039;20190214;   10;   8.0;   2.5;    3;   0.0;   0;    6.750;   0;   3.9;   7.1; 1032.63;    5.7;   78.13;   11.2;   -1.4;   -4.3;eor
       4039;20190215;   10;   4.7;   1.3;    3;   0.0;   0;    9.167;   0;   1.8;   5.4; 1030.09;    4.1;   70.96;   15.2;   -3.2;   -5.8;eor
