STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4371;20181208;   10;  16.9;   6.2;    3;  14.8;   6;    0.000;   0;   7.8;   8.3;  983.38;    6.8;   83.46;    8.4;    5.0;    4.1;eor
       4371;20181209;   10;  13.6;   3.9;    3;   2.6;   6;    0.050;   0;   7.5;   8.1;  981.70;    6.6;   82.38;    8.0;    4.5;    2.7;eor
       4371;20181210;   10;  11.1;   3.1;    3;   1.2;   6;    1.533;   0;   7.0;   6.5;  999.75;    3.8;   80.63;    5.4;    2.7;    1.0;eor
       4371;20181211;   10;   9.6;   2.9;    3;   0.0;   6;    3.617;   0;   6.4;   6.5; 1004.30;    3.7;   81.04;    5.7;    2.4;    0.3;eor
       4371;20181212;   10;   6.3;   2.1;    3;   0.0;   8;    0.183;   0;   7.8;   6.3; 1008.74;    2.8;   84.79;    4.1;    1.4;   -0.2;eor
       4371;20181213;   10;   7.1;   2.3;    3;   0.1;   8;    0.000;   0;   6.7;   5.7; 1006.45;    1.0;   87.63;    1.8;   -0.5;   -2.5;eor
       4371;20181214;   10;   7.0;   2.4;    3;   0.0;   7;    5.017;   0;   5.4;   5.0; 1007.69;    0.4;   79.42;    1.8;   -0.3;   -2.1;eor
       4371;20181215;   10;  13.0;   3.2;    3;   0.0;   0;    0.000;   0;   7.5;   4.1; 1008.08;   -0.2;   67.46;    0.8;   -1.6;   -2.8;eor
       4371;20181216;   10;  13.1;   3.4;    3;   1.2;   8;    0.000;   0;   7.6;   4.5;  996.50;   -1.0;   79.58;    0.5;   -2.2;   -2.9;eor
       4371;20181217;   10;   6.3;   2.0;    3;   1.5;   6;    0.267;   0;   7.9;   6.9; 1001.99;    2.9;   91.21;    5.6;    0.3;   -0.5;eor
       4371;20181218;   10;  12.0;   3.7;    3;   0.0;   6;    3.217;   0;   7.8;   7.1; 1005.32;    5.1;   80.71;    7.0;    3.6;    2.0;eor
       4371;20181219;   10;  12.8;   3.3;    3;   0.5;   6;    1.150;   0;   6.9;   6.7;  996.38;    4.6;   78.08;    8.1;    3.2;    0.5;eor
       4371;20181220;   10;   8.7;   2.8;    3;   6.2;   6;    0.000;   0;   7.8;   8.1;  995.60;    6.1;   86.58;    7.6;    4.9;    3.2;eor
       4371;20181221;   10;  18.5;   5.0;    3;  19.4;   6;    0.000;   0;   7.7;   9.4;  987.07;    8.2;   86.58;   12.0;    5.8;    5.3;eor
       4371;20181222;   10;  10.7;   2.3;    3;   9.9;   6;    0.000;   0;   7.7;   8.9;  994.33;    7.1;   87.92;    8.6;    6.1;    5.6;eor
       4371;20181223;   10;   8.0;   2.0;    3;  12.6;   6;    0.000;   0;   7.7;   8.7; 1000.48;    6.3;   91.13;    7.5;    4.2;    3.9;eor
       4371;20181224;   10;   9.0;   2.6;    3;   0.6;   6;    2.550;   0;   7.1;   6.5; 1010.61;    3.3;   83.33;    5.2;    1.6;   -0.2;eor
       4371;20181225;   10;   9.3;   2.4;    3;   0.0;   6;    0.000;   0;   7.9;   6.6; 1016.37;    4.1;   80.92;    5.7;    2.3;    1.8;eor
       4371;20181226;   10;   8.7;   3.4;    3;   0.4;   6;    0.000;   0;   8.0;   6.6; 1014.25;    2.3;   91.46;    3.4;    1.3;    1.4;eor
       4371;20181227;   10;   3.7;   1.7;    3;   0.0;   0;    2.983;   0;   8.0;   5.5; 1010.10;    2.4;   75.83;    4.6;   -0.7;   -1.9;eor
       4371;20181228;   10;   5.7;   2.0;    3;   0.6;   6;    0.000;   0;   7.8;   5.7; 1011.50;    2.0;   80.96;    2.9;    0.8;   -0.6;eor
       4371;20181229;   10;  12.0;   4.0;    3;   6.0;   6;    0.000;   0;   7.8;   8.1; 1010.33;    4.7;   94.29;    7.8;    2.2;    2.2;eor
       4371;20181230;   10;  13.6;   2.8;    3;   2.2;   6;    0.017;   0;   7.8;   8.3; 1012.78;    6.6;   85.46;    7.6;    5.9;    5.2;eor
