STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2597;20181208;   10;  16.6;   7.0;    3;  14.2;   6;    0.000;   0;   7.4;   7.8;  973.37;    6.2;   82.67;    7.8;    4.8;    3.5;eor
       2597;20181209;   10;  18.1;   7.1;    3;   1.2;   6;    0.133;   0;   7.4;   7.9;  968.21;    6.9;   79.33;    8.2;    4.2;    2.7;eor
       2597;20181210;   10;  12.2;   5.2;    3;   3.1;   8;    0.933;   0;   7.2;   6.2;  983.89;    3.6;   78.75;    5.1;    1.9;    0.4;eor
       2597;20181211;   10;  11.8;   4.5;    3;   0.0;   6;    0.500;   0;   7.3;   6.1;  986.83;    3.1;   80.33;    4.2;    2.3;    0.5;eor
       2597;20181212;   10;   9.3;   2.3;    3;   0.0;   8;    3.817;   0;   6.7;   5.6;  989.11;    2.4;   77.29;    5.0;    0.3;   -2.8;eor
       2597;20181213;   10;  11.3;   3.6;    3;   0.0;   7;    3.000;   0;   5.8;   4.4;  986.32;   -0.2;   72.96;    1.3;   -1.8;   -4.1;eor
       2597;20181214;   10;   9.5;   3.0;    3;   0.0;   0;    0.000;   0;   8.0;   3.9;  988.05;   -0.8;   67.04;   -0.5;   -1.3;   -1.6;eor
       2597;20181215;   10;   8.0;   2.7;    3;   0.0;   0;    0.000;   0;   8.0;   3.7;  990.74;   -1.1;   65.63;   -0.7;   -1.7;   -2.0;eor
       2597;20181216;   10;   8.0;   2.1;    3;   0.5;   8;    0.000;   0;   7.9;   4.3;  981.22;   -2.0;   81.25;   -0.7;   -3.1;   -3.7;eor
       2597;20181217;   10;   5.4;   1.5;    3;   0.1;   8;    0.000;   2;   7.9;   6.4;  987.70;    0.9;   97.25;    3.8;   -1.0;   -1.0;eor
       2597;20181218;   10;   7.5;   2.6;    3;   0.0;   6;    1.033;   0;   7.6;   7.0;  990.94;    3.4;   89.75;    6.2;    0.2;   -2.2;eor
