STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2261;20181208;   10;  17.1;   7.0;    3;  12.4;   4;    0.000;   0;   6.8;   7.2;  939.47;    3.8;   89.63;    5.7;    2.1;    1.3;eor
       2261;20181209;   10;  18.3;   6.3;    3;   2.8;   8;    0.000;   0;   7.7;   7.6;  933.55;    4.5;   89.38;    6.0;    2.2;    0.6;eor
       2261;20181210;   10;  11.3;   4.8;    3;   2.8;   8;    1.300;   0;   6.7;   5.8;  947.35;    1.0;   88.75;    2.5;   -0.1;   -1.5;eor
       2261;20181211;   10;  11.2;   4.5;    3;   2.0;   8;    0.300;   2;   7.6;   5.7;  950.00;    0.7;   88.79;    2.1;   -0.1;   -0.3;eor
       2261;20181212;   10;   8.6;   3.2;    3;   0.1;   8;    0.850;   2;   7.1;   5.5;  953.99;   -0.6;   93.50;    0.3;   -2.3;   -3.5;eor
       2261;20181213;   10;   9.0;   3.0;    3;   0.0;   7;    0.367;   1;   7.0;   4.1;  952.28;   -3.4;   86.58;   -2.4;   -5.0;   -6.9;eor
       2261;20181214;   10;   9.4;   4.1;    3;   0.0;   7;    0.000;   1;   7.9;   3.7;  953.59;   -3.6;   77.88;   -3.2;   -4.6;   -4.5;eor
       2261;20181215;   10;   5.4;   1.8;    3;   0.0;   7;    0.000;   1;   7.9;   3.7;  956.10;   -3.4;   78.71;   -2.9;   -4.5;   -6.0;eor
       2261;20181216;   10;  10.0;   2.9;    3;   0.1;   8;    0.000;   1;   6.7;   4.1;  946.90;   -3.8;   87.29;   -1.6;   -6.9;  -11.1;eor
       2261;20181217;   10;   7.4;   2.7;    3;   0.0;   6;    0.000;   1;   7.8;   6.1;  953.18;    0.4;   97.67;    1.8;   -1.6;   -1.8;eor
       2261;20181218;   10;  10.3;   3.1;    3;   0.0;   0;    3.683;   0;   6.9;   6.3;  957.20;    1.7;   90.58;    3.8;   -0.5;   -1.7;eor
       2261;20181219;   10;  10.7;   4.3;    3;   4.0;   8;    0.000;   0;   7.8;   5.4;  949.97;   -0.5;   91.92;    0.3;   -1.8;   -2.6;eor
       2261;20181220;   10;  11.2;   3.5;    3;   1.6;   6;    0.000;   0;   7.7;   6.8;  948.77;    1.8;   96.96;    3.7;   -0.4;   -0.4;eor
       2261;20181221;   10;  18.6;   6.0;    3;  16.4;   8;    0.000;   0;   7.6;   8.4;  943.29;    5.4;   92.50;    8.9;    3.3;    2.8;eor
       2261;20181222;   10;  16.9;   6.2;    3;   2.1;   6;    0.850;   0;   7.6;   8.4;  945.08;    6.8;   84.88;    8.5;    4.6;    3.2;eor
       2261;20181223;   10;  10.4;   3.3;    3;   9.8;   8;    0.000;   0;   7.6;   7.8;  950.71;    4.6;   91.50;    5.9;    3.0;    2.8;eor
       2261;20181224;   10;   9.4;   3.7;    3;   1.4;   8;    0.367;   1;   7.5;   6.0;  955.47;    0.5;   94.71;    3.0;   -1.6;   -2.8;eor
       2261;20181225;   10;   8.3;   3.5;    3;   0.3;   8;    0.000;   1;   7.9;   5.4;  963.90;   -0.3;   91.04;    0.4;   -0.9;   -1.1;eor
       2261;20181226;   10;   8.4;   3.3;    3;   0.1;   6;    0.083;   0;   7.8;   5.5;  962.18;   -0.5;   92.50;    0.4;   -1.1;   -1.7;eor
       2261;20181227;   10;   6.0;   1.8;    3;   0.0;   0;    1.317;   0;   7.7;   6.4;  959.03;    1.4;   94.21;    4.3;    0.2;   -0.5;eor
       2261;20181228;   10;   5.4;   2.1;    3;   0.1;   8;    6.550;   0;   5.0;   5.5;  959.02;    0.7;   86.21;    2.9;   -2.0;   -5.2;eor
       2261;20181229;   10;  13.4;   3.6;    3;   3.6;   8;    0.383;   1;   7.7;   5.7;  960.47;   -0.5;   95.96;    1.0;   -1.6;   -1.8;eor
       2261;20181230;   10;  13.8;   4.8;    3;   0.0;   6;    0.833;   1;   7.7;   6.6;  958.92;    2.9;   87.42;    4.6;    0.6;    0.2;eor
       2261;20181231;   10;   6.5;   2.4;    3;   0.3;   6;    0.000;   0;   7.7;   7.9;  962.91;    3.7;   98.25;    4.7;    2.8;    2.5;eor
       2261;20190101;   10;  19.1;   5.2;    3;   3.8;   8;    0.000;   0;   7.3;   7.3;  956.02;    3.7;   90.29;    4.9;   -0.6;   -0.9;eor
       2261;20190102;   10;  17.3;   6.2;    3;   1.3;   8;    1.350;   3;   7.3;   4.4;  957.80;   -1.2;   77.63;    0.3;   -3.1;   -5.3;eor
       2261;20190103;   10;   9.4;   3.9;    3;   0.4;   8;    2.500;   5;   6.5;   3.8;  964.27;   -2.7;   74.71;   -0.9;   -4.9;   -7.3;eor
       2261;20190104;   10;   8.7;   3.6;    3;   4.6;   8;    0.000;   4;   7.4;   5.1;  962.10;   -1.3;   91.04;    0.3;   -2.4;   -3.0;eor
       2261;20190105;   10;  11.0;   4.5;    3;   6.4;   8;    0.000;   9;   7.7;   7.1;  954.50;    2.1;   99.00;    4.0;   -0.2;    0.0;eor
       2261;20190106;   10;   8.7;   2.7;    3;   2.0;   8;    0.083;   0;   7.8;   6.5;  958.98;    1.5;   94.29;    3.5;    0.3;    0.1;eor
       2261;20190107;   10;  14.6;   4.0;    3;   1.1;   8;    0.017;   1;   7.5;   6.9;  959.53;    2.2;   95.75;    3.1;    0.7;    0.2;eor
       2261;20190108;   10;  15.5;   6.2;    3;   5.2;   8;    0.000;   1;   7.8;   6.3;  942.09;    1.1;   94.50;    2.1;   -0.3;   -0.4;eor
       2261;20190109;   10;  13.9;   5.8;    3;   2.2;   4;    0.000;  11;   7.7;   5.2;  941.02;   -1.5;   94.38;   -0.2;   -2.0;   -0.7;eor
