"STATION_ID","BEGIN","END","STATION_HEIGHT","LAT","LON","STATION_NAME","BUNDESLAND"
"01443",1874-01-01,2020-06-09,237,48.0232,7.8343,"Freiburg","Baden-W<U+00FC>rttemberg"
"01468",1949-01-01,2020-06-09,797,48.4538,8.409,"Freudenstadt","Baden-W<U+00FC>rttemberg"
"01490",1947-01-01,2020-06-09,394,47.6454,9.4795,"Friedrichshafen","Baden-W<U+00FC>rttemberg"
"01503",1947-02-01,2020-06-09,6,53.0643,7.9022,"Friesoythe-Altenoythe","Niedersachsen"
"01504",2000-07-01,2020-06-09,172,51.119,9.2799,"Fritzlar (Flugplatz)","Hessen"
"01526",1949-01-01,2020-06-09,242,50.5668,9.6533,"Fulda-Horas","Hessen"
"01544",1947-01-01,2020-06-09,47,52.5129,11.3941,"Gardelegen","Sachsen-Anhalt"
"01550",1936-01-01,2020-06-09,719,47.483,11.0621,"Garmisch-Partenkirchen","Bayern"
"01587",1998-01-01,2020-06-09,536,48.9481,11.4289,"Gelbelsee","Bayern"
"01602",1970-01-01,2020-06-09,176,48.4329,7.9931,"Ohlsbach","Baden-W<U+00FC>rttemberg"
"01612",1952-01-01,2020-06-09,311,50.8813,12.1289,"Gera-Leumnitz","Th<U+00FC>ringen"
"01639",1939-01-01,2020-06-09,203,50.6017,8.6439,"Gie<U+00DF>en/Wettenberg","Hessen"
"01684",1880-01-01,2020-06-09,238,51.1622,14.9506,"G<U+00F6>rlitz","Sachsen"
"01691",1927-01-01,2020-06-09,167,51.5002,9.9507,"G<U+00F6>ttingen","Niedersachsen"
"01721",1991-01-01,2020-06-09,506,49.664,11.2239,"Gr<U+00E4>fenberg-Kasberg","Bayern"
"01735",1995-12-01,2020-06-09,628,48.7894,13.629,"Grainet-Rehberg","Bayern"
"01736",1951-01-01,2020-06-09,27,53.5731,10.6797,"Grambek","Schleswig-Holstein"
"01766",1982-01-01,2020-06-09,48,52.1344,7.6969,"M<U+00FC>nster/Osnabr<U+00FC>ck","Nordrhein-Westfalen"
"01863",1995-03-01,2020-06-09,258,50.2667,9.1854,"Gr<U+00FC>ndau-Breitenborn","Hessen"
"01869",1973-01-01,2020-06-09,56,53.3153,13.9338,"Gr<U+00FC>now","Brandenburg"
"01964",1952-01-01,2020-06-09,328,49.9445,6.3821,"Olsdorf","Rheinland-Pfalz"
"01975",1936-01-01,2020-06-09,14,53.6332,9.9881,"Hamburg-Fuhlsb<U+00FC>ttel","Hamburg"
"01993",1940-01-01,2020-06-09,68,52.0848,9.3896,"Hameln","Niedersachsen"
"02014",1936-01-01,2020-06-09,59,52.4644,9.6779,"Hannover","Niedersachsen"
"02023",1998-01-01,2020-06-09,501,48.7918,10.7062,"Harburg","Bayern"
"02039",1936-01-01,2020-06-09,201,51.9002,10.5699,"Harzburg, Bad","Niedersachsen"
"02074",1947-01-01,2020-06-09,518,48.3752,8.98,"Hechingen","Baden-W<U+00FC>rttemberg"
"02110",1963-01-01,2020-06-09,57,51.0411,6.1042,"Heinsberg-Schleiden","Nordrhein-Westfalen"
"02171",1949-01-01,2020-06-09,272,50.852,9.7377,"Hersfeld, Bad","Hessen"
"02174",1991-10-01,2020-06-09,238,51.6255,10.3695,"Herzberg","Niedersachsen"
"02211",1937-01-01,2020-06-09,295,50.7371,7.6528,"Hilgenroth","Rheinland-Pfalz"
"02261",1947-01-01,2020-06-09,565,50.3123,11.876,"Hof","Bayern"
"02290",1781-01-01,2020-06-09,977,47.8009,11.0108,"Hohenpei<U+00DF>enberg","Bayern"
"02319",1982-12-01,2020-06-09,685,47.8823,11.6961,"Holzkirchen","Bayern"
"02323",1951-01-01,2020-06-09,110,51.8529,9.4953,"Bevern, Kr. Holzminden","Niedersachsen"
"02362",1982-10-01,2020-06-09,328,50.5651,7.4843,"H<U+00FC>mmerich","Rheinland-Pfalz"
"02377",1981-01-01,2020-06-09,362,47.7001,7.5895,"Kandern-Gupf","Baden-W<U+00FC>rttemberg"
"02385",1974-04-01,2020-06-09,376,49.6927,7.3264,"Idar-Oberstein","Rheinland-Pfalz"
"02410",1974-01-01,2020-06-09,364,48.7112,11.5362,"Ingolstadt (Flugplatz)","Bayern"
"02429",1988-03-01,2020-06-09,21,53.9897,9.5696,"Itzehoe","Schleswig-Holstein"
"02444",1824-01-01,2020-06-09,155,50.9251,11.583,"Jena (Sternwarte)","Th<U+00FC>ringen"
"02483",1926-11-01,2020-06-09,839,51.1803,8.4891,"Kahler Asten","Nordrhein-Westfalen"
"02486",1901-01-01,2020-06-09,271,49.4262,7.7557,"Kaiserslautern","Rheinland-Pfalz"
"02497",1947-01-01,2020-06-09,505,50.5014,6.5264,"Kall-Sistig","Nordrhein-Westfalen"
"02559",1952-01-01,2020-06-09,705,47.7233,10.3348,"Kempten","Bayern"
"02564",1974-01-01,2020-06-09,28,54.3776,10.1424,"Kiel-Holtenau","Schleswig-Holstein"
"02575",2007-05-22,2020-06-09,426,49.1804,9.98,"Kirchberg/Jagst-Herboldshausen","Baden-W<U+00FC>rttemberg"
"02597",1946-01-01,2020-06-09,282,50.224,10.0792,"Kissingen, Bad","Bayern"
"02600",1982-11-01,2020-06-09,193,49.7363,10.1781,"Kitzingen","Bayern"
"02601",1936-01-01,2020-06-09,826,50.2218,8.4469,"Kleiner Feldberg/Taunus","Hessen"
"02627",1996-07-01,2020-06-09,128,51.5554,13.8845,"Klettwitz","Brandenburg"
"02638",1947-01-01,2020-06-09,974,48.1054,8.7548,"Klippeneck","Baden-W<U+00FC>rttemberg"
