"Name","IdLandkreis","LAT","LON","closest_station_id","km_to_closest_station"
"Freiburg im Breisgau","08311",47.9925229956,7.81807596197,"01443",3.62241117078305
"Dillingen an der Donau","09773",48.5964037974,10.527764168,"00983",5.06278342317437
"N<U+00FC>rnberg","09564",49.4362114486,11.0827553426,"03668",7.70310503398394
"Neumarkt in der Oberpfalz","09373",49.2159614099,11.5665579197,"03534",8.38095350445551
"Rosenheim","09163",47.8443777181,12.1087247511,"04261",3.73118163061475
"Wilhelmshaven","03405",53.5659448147,8.08620462896,"06157",8.36272834596329
"Wittmund","03462",53.5734137385,7.7061235505,"05640",3.63132086856496
"Recklinghausen","05562",51.6724839158,7.15924893893,"13901",7.42826018164732
"Steinfurt","05566",52.2115366779,7.57944671253,"01766",11.7486269670083
"Kusel","07336",49.5498108558,7.47132028218,"02385",19.0325832532294
"Neuwied","07138",50.5577005458,7.46900064967,"02362",1.35978232670378
"Neunkirchen","10043",49.3757016517,7.11720320683,"03545",8.88707753704377
"Ostholstein","01055",54.1896490274,10.8194270205,"03897",11.79110724699
"Amberg","09361",49.4509277374,11.8453726034,"00151",2.13025618746842
"F<U+00FC>rth","09563",49.4914188335,10.9654822077,"03668",6.59222825547954
"G<U+00FC>nzburg","09774",48.3528138472,10.3811312115,"03485",4.60776820364227
"Regensburg","09362",49.0130808954,12.1137308794,"04104",3.38686020594848
"Rh<U+00F6>n-Grabfeld","09673",50.3713127519,10.2549075725,"03836",9.49046266459193
"Elbe-Elster","12062",51.6122710164,13.459588917,"01001",8.75375767104483
"Marburg-Biedenkopf","06534",50.8368638341,8.73804376785,"03164",2.91355443957303
"Rostock","13003",54.1463883937,12.1417471216,"04271",5.47990546536218
"Cloppenburg","03453",52.9110290194,7.90471393786,"01503",17.0628791862016
"Gifhorn","03151",52.5802562309,10.6041704601,"07432",7.95956905172147
"Bernkastel-Wittlich","07231",49.924645182,6.96721862193,"00953",19.1625966029315
"Rhein-Lahn-Kreis","07141",50.2632817442,7.84270993642,"03340",19.6557218616691
"Steinburg","01061",53.9289451889,9.51938189615,"02429",7.52056070734965
"Unstrut-Hainich-Kreis","16064",51.185238708,10.551795561,"06305",4.42505306639647
"Alb-Donau-Kreis","08425",48.4017114301,9.82744714375,"15444",8.26416492687087
"Baden-Baden","08211",48.748527439,8.23176220313,"00257",2.60574341793784
"Heilbronn","08121",49.1527195922,9.18234690067,"15547",4.14831213621244
"Rottweil","08325",48.254220293,8.53235133177,"04300",11.1516889531149
